               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096501,            0.012686,              0.1054,                   0,                   0,                   0,                   0,            0.039681,            0.010995,             0.04729,            0.070469,           0.0032813,           0.0032813
                   1,            0.090047,            0.010675,            0.096517,                   0,                   0,                   0,                   0,            0.064407,           0.0055909,              1.4622,            0.040452,           0.0065982,           0.0065982
                   2,            0.092725,           0.0087815,            0.088547,          7.9949e-05,            0.078537,           5.597e-05,          1.3612e-05,            0.052027,            0.011778,            0.042132,             0.01042,           0.0098987,           0.0098987
                   3,            0.092639,           0.0078003,             0.08325,          0.00036584,             0.19727,          0.00030285,          6.8268e-05,            0.045854,           0.0098202,            0.041168,           0.0099258,           0.0099258,           0.0099258
                   4,            0.090259,             0.00733,            0.080414,          0.00029664,             0.15772,          0.00040733,          8.8648e-05,            0.043259,           0.0078387,            0.038555,           0.0099258,           0.0099258,           0.0099258
                   5,            0.088914,           0.0073961,            0.077992,          0.00037788,             0.12231,          0.00042121,          0.00011663,            0.041394,            0.010295,            0.037401,            0.009901,            0.009901,            0.009901
                   6,            0.086403,           0.0071034,            0.077968,          0.00059202,            0.049828,          0.00059651,          0.00015921,            0.039748,           0.0076081,            0.036319,           0.0098763,           0.0098763,           0.0098763
                   7,            0.085294,           0.0069036,            0.077524,           0.0010078,             0.16426,           0.0018843,          0.00041766,            0.037958,           0.0072394,            0.035123,           0.0098515,           0.0098515,           0.0098515
                   8,            0.085458,           0.0065373,             0.07668,          0.00049219,             0.15078,          0.00084044,           0.0001994,            0.039716,           0.0064691,            0.034856,           0.0098268,           0.0098268,           0.0098268
                   9,            0.084141,           0.0064896,            0.076118,          0.00061121,             0.24387,          0.00083634,          0.00019377,            0.039903,           0.0067229,            0.035205,            0.009802,            0.009802,            0.009802
                  10,            0.083713,           0.0064896,            0.076173,          0.00074372,             0.38656,           0.0024555,           0.0006951,            0.037249,           0.0072455,            0.034544,           0.0097773,           0.0097773,           0.0097773
                  11,            0.081892,           0.0064832,             0.07483,           0.0010077,              0.3421,           0.0025064,          0.00064312,            0.036655,           0.0066848,             0.03409,           0.0097525,           0.0097525,           0.0097525
                  12,             0.08095,           0.0064815,            0.074952,           0.0012172,             0.32855,           0.0034786,          0.00073202,            0.036436,           0.0066013,            0.033426,           0.0097278,           0.0097278,           0.0097278
                  13,             0.08107,           0.0060636,            0.073866,          0.00072726,             0.34116,           0.0032169,          0.00088561,            0.036058,           0.0079016,            0.033238,            0.009703,            0.009703,            0.009703
                  14,            0.079947,           0.0064875,            0.073067,           0.0017939,             0.23259,           0.0028064,          0.00061502,            0.037162,           0.0068072,            0.032856,           0.0096783,           0.0096783,           0.0096783
                  15,            0.079588,           0.0065225,            0.071561,             0.85219,           0.0068576,           0.0090982,           0.0025203,            0.035852,           0.0066952,            0.032859,           0.0096535,           0.0096535,           0.0096535
                  16,            0.079318,           0.0061823,            0.071712,           0.0042205,             0.27885,            0.010782,           0.0027036,            0.033602,           0.0070681,            0.033062,           0.0096288,           0.0096288,           0.0096288
                  17,            0.078905,           0.0063279,            0.072045,             0.83562,           0.0040799,           0.0049927,           0.0012425,            0.038192,           0.0064423,            0.031962,            0.009604,            0.009604,            0.009604
                  18,             0.07717,           0.0063837,            0.069661,           0.0017927,             0.27612,           0.0065409,            0.001343,            0.038264,           0.0064836,            0.031427,           0.0095793,           0.0095793,           0.0095793
                  19,            0.077746,           0.0060961,             0.06837,             0.17599,             0.15295,            0.024628,           0.0060696,            0.033669,           0.0063751,            0.031433,           0.0095545,           0.0095545,           0.0095545
                  20,            0.078241,           0.0061413,            0.068671,             0.64841,            0.028251,            0.021256,           0.0056032,            0.034329,           0.0069297,            0.032494,           0.0095298,           0.0095298,           0.0095298
                  21,            0.080114,           0.0057353,            0.067707,             0.81803,            0.018223,            0.016665,           0.0048814,            0.036596,           0.0061214,            0.030964,            0.009505,            0.009505,            0.009505
                  22,            0.075871,           0.0061332,            0.067033,             0.74946,            0.020584,            0.018488,            0.004968,            0.034291,           0.0066009,            0.030614,           0.0094803,           0.0094803,           0.0094803
                  23,            0.076987,           0.0062384,            0.066582,           0.0028213,             0.45457,            0.024005,           0.0068672,            0.034282,           0.0069544,            0.030015,           0.0094555,           0.0094555,           0.0094555
                  24,             0.07706,           0.0061906,            0.066649,             0.27163,            0.094874,            0.023502,           0.0049605,            0.034952,           0.0066987,            0.029533,           0.0094307,           0.0094307,           0.0094307
                  25,            0.075947,           0.0061971,            0.065006,             0.74229,            0.047515,            0.036808,           0.0088065,            0.033249,           0.0066683,             0.02935,            0.009406,            0.009406,            0.009406
                  26,            0.076449,           0.0059483,            0.066016,             0.30971,             0.12416,            0.024866,           0.0062817,            0.034339,           0.0066939,            0.029823,           0.0093813,           0.0093813,           0.0093813
                  27,            0.075528,           0.0061328,            0.063876,             0.49578,            0.075228,            0.028813,           0.0082439,            0.033525,           0.0068349,            0.030791,           0.0093565,           0.0093565,           0.0093565
                  28,            0.075833,           0.0061664,            0.063652,             0.56145,            0.068978,            0.037682,            0.011107,             0.03365,           0.0067821,            0.029101,           0.0093317,           0.0093317,           0.0093317
                  29,            0.074557,           0.0058169,             0.06227,              0.7111,             0.04447,            0.051968,            0.016523,            0.032864,           0.0064775,            0.027852,            0.009307,            0.009307,            0.009307
                  30,            0.075134,           0.0061467,            0.061071,             0.70697,             0.04019,            0.045212,            0.011661,              0.0333,           0.0063716,            0.027457,           0.0092823,           0.0092823,           0.0092823
                  31,            0.074384,           0.0062174,            0.062359,             0.72062,            0.055097,            0.053487,            0.016668,            0.031794,           0.0067983,            0.027258,           0.0092575,           0.0092575,           0.0092575
                  32,            0.074177,           0.0056816,            0.058688,             0.59933,             0.08621,            0.052231,            0.013917,            0.032114,           0.0065577,            0.027275,           0.0092327,           0.0092327,           0.0092327
                  33,            0.074103,            0.005885,            0.061101,             0.58172,            0.071514,            0.065285,            0.019469,            0.034314,           0.0064118,            0.026524,            0.009208,            0.009208,            0.009208
                  34,            0.073463,           0.0060668,            0.057928,             0.59111,            0.078052,            0.059634,            0.019205,            0.031696,           0.0062934,            0.025189,           0.0091833,           0.0091833,           0.0091833
