               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099824,            0.034686,             0.11213,                   0,                   0,                   0,                   0,            0.084099,            0.035298,              0.1057,              0.0748,              0.0028,              0.0028
                   1,            0.093667,            0.035293,             0.11099,                   0,                   0,                   0,                   0,            0.082426,            0.035725,             0.10573,            0.048644,           0.0056436,           0.0056436
                   2,            0.089964,            0.036891,             0.11041,                   0,                   0,                   0,                   0,            0.083236,            0.035674,             0.10577,             0.02243,           0.0084297,           0.0084297
                   3,            0.087611,            0.037164,             0.10943,                   0,                   0,                   0,                   0,            0.081669,            0.035913,             0.10583,            0.009703,            0.009703,            0.009703
                   4,            0.085827,            0.036514,             0.10915,                   0,                   0,                   0,                   0,             0.08767,            0.034373,             0.17972,            0.009703,            0.009703,            0.009703
                   5,            0.085438,            0.035549,             0.10907,          6.3841e-05,            0.010417,          3.7493e-05,          3.7493e-06,            0.094933,            0.031479,             0.28181,            0.009604,            0.009604,            0.009604
                   6,            0.086669,             0.03661,             0.10884,          0.00016846,            0.010417,          0.00010853,          3.2475e-05,            0.084925,             0.03498,             0.13531,            0.009505,            0.009505,            0.009505
                   7,            0.085417,             0.03638,             0.10878,                   0,                   0,                   0,                   0,            0.087492,             0.03397,             0.13183,            0.009406,            0.009406,            0.009406
                   8,            0.086285,            0.036196,              0.1087,                   0,                   0,                   0,                   0,            0.080699,            0.036633,             0.10682,            0.009307,            0.009307,            0.009307
                   9,            0.085791,            0.035682,             0.10853,                   0,                   0,                   0,                   0,            0.080513,            0.036667,             0.10612,            0.009208,            0.009208,            0.009208
                  10,            0.084987,             0.03579,             0.10846,                   0,                   0,                   0,                   0,            0.078487,            0.036814,              0.1061,            0.009109,            0.009109,            0.009109
                  11,            0.085016,            0.034303,             0.10841,                   0,                   0,                   0,                   0,            0.078926,            0.035715,             0.10619,             0.00901,             0.00901,             0.00901
                  12,            0.083393,            0.035484,             0.10824,                   0,                   0,                   0,                   0,            0.077841,            0.035435,             0.10617,            0.008911,            0.008911,            0.008911
